name	x	y	z	material
Fp1	-0.030902595782959074	0.1145851808674079	0.027866574329093563	Ag/AgCl electrodes
Fp2	0.028409487887091203	0.11534630809630636	0.02772125772253031	Ag/AgCl electrodes
F7	-0.07187663250970616	0.07310353217275958	0.02579045587891774	Ag/AgCl electrodes
F3	-0.05180904586237076	0.0866879023191724	0.07871409302883829	Ag/AgCl electrodes
Fz	-0.0012292786120998045	0.09327445212894306	0.10263929347682083	Ag/AgCl electrodes
F4	0.05027427028109521	0.087438385860065	0.07727065434234637	Ag/AgCl electrodes
F8	0.07143526180097565	0.07450512184827826	0.025101027393181548	Ag/AgCl electrodes
FC1	-0.03571586782937188	0.06171406221864098	0.11798301537735789	Ag/AgCl electrodes
FC2	0.03313097492028421	0.06182848393513826	0.11678169813445863	Ag/AgCl electrodes
T7	-0.08598208540859081	0.014871643830998479	0.03117337373904913	Ag/AgCl electrodes
C3	-0.06714873038365092	0.023358234962598565	0.10451068106025274	Ag/AgCl electrodes
Cz	-0.0013741408533525957	0.027617093717945417	0.1401994941744	Ag/AgCl electrodes
C4	0.06532887326785189	0.02357310071942504	0.10369243420048097	Ag/AgCl electrodes
T8	0.08326136240706139	0.015258183861365685	0.030972968524064372	Ag/AgCl electrodes
O9	n/a	n/a	n/a	Ag/AgCl electrodes
CP1	-0.03742513286802655	-0.010824235244308918	0.13344371157184573	Ag/AgCl electrodes
CP2	0.0364719521247076	-0.010903793865136614	0.13281227263122153	Ag/AgCl electrodes
O10	n/a	n/a	n/a	Ag/AgCl electrodes
P7	-0.07445797197401204	-0.0421231600703902	0.041273631387385656	Ag/AgCl electrodes
P3	-0.05503823925315043	-0.04421030104524479	0.09990897692201317	Ag/AgCl electrodes
Pz	-0.0017094524972804195	-0.04521299319629392	0.12667292418210063	Ag/AgCl electrodes
P4	0.053636008012841616	-0.044334525348021875	0.10051602773215543	Ag/AgCl electrodes
P8	0.07103246343848865	-0.04225998064272267	0.04119886278195534	Ag/AgCl electrodes
PO7	-0.056948628595126505	-0.06592324268349231	0.04790743802199564	Ag/AgCl electrodes
PO3	-0.038624608976388995	-0.06736158053162712	0.08241555265208678	Ag/AgCl electrodes
Oz	-0.002060253553524364	-0.08278299035919615	0.06073663060774018	Ag/AgCl electrodes
PO4	0.03466778587174901	-0.06766213823777688	0.08164652939132971	Ag/AgCl electrodes
PO8	0.05355731544232249	-0.0664169403782647	0.04785097585047131	Ag/AgCl electrodes
LMAST	n/a	n/a	n/a	Ag/AgCl electrodes
IZ	n/a	n/a	n/a	Ag/AgCl electrodes
