name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
Fp2	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
F7	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
F3	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
Fz	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
F4	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
F8	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
FC1	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
FC2	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
T7	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
C3	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
Cz	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
C4	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
T8	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
O9	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
CP1	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
CP2	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
O10	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
P7	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
P3	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
Pz	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
P4	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
P8	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
PO7	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
PO3	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
Oz	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
PO4	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
PO8	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
LMAST	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
IZ	EEG	V	0.0	125.0	ElectroEncephaloGram	250.0	good	n/a
